Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
63,Beto,gwGNB,FW,Everton,27-092,1998.0,13.2,6,35,18,51.4,2.64,1.36,0.17,0.33,13.6,0,0,0,6.1,6.1,0.17,-0.1,-0.1,Matches
64,Bilal El Khannouss,maMAR,MF,Leicester City,20-358,2004.0,21.3,2,23,6,26.1,1.08,0.28,0.09,0.33,22.8,0,0,0,0.9,0.9,0.04,1.1,1.1,Matches
65,Billy Gilmour,sctSCO,MF,Brighton,23-326,2001.0,1.1,0,1,0,0.0,0.92,0.0,0.0,,25.5,1,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
66,Bobby De Cordova-Reid,jmJAM,FW,Leicester City,32-090,1993.0,8.3,1,7,3,42.9,0.85,0.36,0.14,0.33,25.1,0,0,0,0.8,0.8,0.11,0.2,0.2,Matches
67,Boubacar Kamara,frFRA,MF,Aston Villa,25-161,1999.0,15.3,0,7,1,14.3,0.46,0.07,0.0,0.0,21.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
68,Boubacar Traoré,mlMLI,MF,Wolves,23-256,2001.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
69,Boubakary Soumaré,frFRA,MF,Leicester City,26-065,1999.0,21.7,0,7,0,0.0,0.32,0.0,0.0,,23.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
70,Brajan Gruda,deGER,"FW,MF",Brighton,20-337,2004.0,5.6,0,4,2,50.0,0.71,0.36,0.0,0.0,16.8,2,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
71,Brandon Austin,engENG,GK,Tottenham,26-115,1999.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
72,Brennan Johnson,wlsWAL,FW,Tottenham,23-345,2001.0,23.1,11,53,20,37.7,2.29,0.86,0.21,0.55,11.4,0,0,0,9.8,9.8,0.19,1.2,1.2,Matches
73,Bruno Fernandes,ptPOR,MF,Manchester Utd,30-237,1994.0,30.6,8,83,25,30.1,2.71,0.82,0.06,0.2,21.9,12,3,3,9.5,7.1,0.09,-1.5,-2.1,Matches
74,Bruno Guimarães,brBRA,MF,Newcastle Utd,27-168,1997.0,32.4,4,38,9,23.7,1.17,0.28,0.11,0.44,16.2,0,0,0,3.8,3.8,0.1,0.2,0.2,Matches
75,Bryan Mbeumo,cmCMR,FW,Brentford,25-269,1999.0,33.9,18,69,30,43.5,2.03,0.88,0.19,0.43,17.7,6,5,5,10.8,6.8,0.1,7.2,6.2,Matches
76,Bukayo Saka,engENG,"FW,MF",Arsenal,23-240,2001.0,16.2,6,54,19,35.2,3.34,1.18,0.09,0.26,15.9,1,1,1,5.9,5.1,0.09,0.1,-0.1,Matches
