Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
281,João Félix,ptPOR,"FW,MF",Chelsea,25-174,1999.0,4.1,1,20,5,25.0,4.88,1.22,0.05,0.2,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,Matches
282,João Gomes,brBRA,MF,Wolves,24-080,2001.0,30.9,3,33,7,21.2,1.07,0.23,0.09,0.43,18.1,0,0,0,2.7,2.7,0.08,0.3,0.3,Matches
283,João Pedro,brBRA,"FW,MF",Brighton,23-219,2001.0,21.6,10,42,15,35.7,1.94,0.69,0.12,0.33,17.2,0,5,5,8.9,5.0,0.12,1.1,0.0,Matches
284,Joël Veltman,nlNED,DF,Brighton,33-108,1992.0,18.3,0,6,1,16.7,0.33,0.05,0.0,0.0,19.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
285,Joško Gvardiol,hrCRO,DF,Manchester City,23-100,2002.0,33.4,5,37,11,29.7,1.11,0.33,0.14,0.45,13.0,0,0,0,4.4,4.0,0.11,0.6,1.0,Matches
286,Julian Araujo,mxMEX,DF,Bournemouth,23-263,2001.0,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
287,Julio Enciso,pyPAR,"MF,FW",Brighton,21-100,2004.0,3.3,0,20,11,55.0,6.12,3.37,0.0,0.0,21.3,1,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
288,Julio Enciso,pyPAR,"FW,MF",Ipswich Town,21-100,2004.0,6.9,1,20,7,35.0,2.9,1.02,0.05,0.14,22.7,1,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
289,Julio Soler,arARG,FW,Bournemouth,20-076,2005.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
290,Jurriën Timber,nlNED,DF,Arsenal,23-320,2001.0,26.9,1,14,4,28.6,0.52,0.15,0.07,0.25,14.1,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
291,Justin Devenny,nirNIR,MF,Crystal Palace,21-204,2003.0,4.8,1,8,4,50.0,1.68,0.84,0.13,0.25,21.2,1,0,0,0.7,0.7,0.08,0.3,0.3,Matches
292,Justin Kluivert,nlNED,"MF,FW",Bournemouth,25-363,1999.0,23.3,12,51,22,43.1,2.19,0.94,0.12,0.27,20.3,0,6,6,9.9,5.2,0.1,2.1,0.8,Matches
293,Jáder Durán,coCOL,FW,Aston Villa,21-141,2003.0,7.1,7,31,15,48.4,4.37,2.12,0.23,0.47,15.6,0,0,0,4.9,4.9,0.16,2.1,2.1,Matches
294,Jørgen Strand Larsen,noNOR,FW,Wolves,25-086,2000.0,27.4,13,53,32,60.4,1.94,1.17,0.25,0.41,11.4,0,0,0,10.0,10.0,0.19,3.0,3.0,Matches
295,Kaelan Casey,engENG,DF,West Ham,20-187,2004.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
296,Kai Havertz,deGER,"FW,MF",Arsenal,25-326,1999.0,20.4,9,52,21,40.4,2.54,1.03,0.17,0.43,11.7,0,0,0,9.4,9.4,0.18,-0.4,-0.4,Matches
297,Kalvin Phillips,engENG,MF,Ipswich Town,29-152,1995.0,13.5,0,10,2,20.0,0.74,0.15,0.0,0.0,24.2,3,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
298,Kamaldeen Sulemana,ghGHA,"FW,MF",Southampton,23-077,2002.0,12.5,1,25,8,32.0,2.01,0.64,0.04,0.13,18.5,0,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches
299,Kaoru Mitoma,jpJPN,"FW,MF",Brighton,27-348,1997.0,28.0,9,54,25,46.3,1.93,0.89,0.17,0.36,13.9,0,0,0,8.8,8.8,0.16,0.2,0.2,Matches
300,Kasey McAteer,ieIRL,"FW,MF",Leicester City,23-162,2001.0,5.9,0,8,3,37.5,1.36,0.51,0.0,0.0,16.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
301,Keane Lewis-Potter,engENG,"DF,FW",Brentford,24-070,2001.0,30.7,1,27,14,51.9,0.88,0.46,0.04,0.07,20.5,1,0,0,2.6,2.6,0.09,-1.6,-1.6,Matches
302,Kenny Tete,nlNED,DF,Fulham,29-206,1995.0,16.0,0,22,2,9.1,1.38,0.13,0.0,0.0,16.1,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
303,Kepa Arrizabalaga,esESP,GK,Bournemouth,30-212,1994.0,27.0,0,1,0,0.0,0.04,0.0,0.0,,9.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
304,Kevin Danso,atAUT,DF,Tottenham,26-226,1998.0,5.4,0,6,2,33.3,1.12,0.37,0.0,0.0,17.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
305,Kevin De Bruyne,beBEL,"MF,FW",Manchester City,33-309,1991.0,17.1,4,49,14,28.6,2.87,0.82,0.08,0.29,21.7,6,0,0,3.8,3.8,0.08,0.2,0.2,Matches
306,Kevin Schade,deGER,FW,Brentford,23-157,2001.0,22.2,8,46,20,43.5,2.07,0.9,0.17,0.4,11.9,0,0,0,6.5,6.5,0.14,1.5,1.5,Matches
307,Kieran Tierney,sctSCO,"DF,FW",Arsenal,27-332,1997.0,2.0,0,1,0,0.0,0.5,0.0,0.0,,2.6,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches
308,Kieran Trippier,engENG,DF,Newcastle Utd,34-226,1990.0,13.2,0,3,0,0.0,0.23,0.0,0.0,,22.2,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
309,Kiernan Dewsbury-Hall,engENG,"MF,FW",Chelsea,26-239,1998.0,2.9,0,1,0,0.0,0.35,0.0,0.0,,7.8,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches
310,Kim Jisoo,krKOR,DF,Brentford,20-130,2004.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
311,Kobbie Mainoo,engENG,MF,Manchester Utd,20-014,2005.0,15.7,0,13,2,15.4,0.83,0.13,0.0,0.0,20.8,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
312,Konstantinos Mavropanos,grGRE,DF,West Ham,27-143,1997.0,21.6,0,18,5,27.8,0.83,0.23,0.0,0.0,14.8,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Matches
313,Kosta Nedeljković,rsSRB,DF,Aston Villa,19-138,2005.0,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
314,Kostas Tsimikas,grGRE,DF,Liverpool,28-356,1996.0,7.4,0,4,2,50.0,0.54,0.27,0.0,0.0,16.1,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
315,Kristoffer Ajer,noNOR,DF,Brentford,27-016,1998.0,15.5,0,8,3,37.5,0.52,0.19,0.0,0.0,10.2,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches
316,Kyle Walker,engENG,DF,Manchester City,34-340,1990.0,10.8,0,5,2,40.0,0.46,0.19,0.0,0.0,27.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
317,Kyle Walker-Peters,engENG,DF,Southampton,28-020,1997.0,31.4,0,20,6,30.0,0.64,0.19,0.0,0.0,18.3,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
318,Lamare Bogarde,nlNED,"DF,MF",Aston Villa,21-118,2004.0,5.3,0,1,1,100.0,0.19,0.19,0.0,0.0,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
319,Leandro Trossard,beBEL,FW,Arsenal,30-150,1994.0,25.2,8,66,20,30.3,2.62,0.8,0.12,0.4,16.0,0,0,0,6.6,6.6,0.1,1.4,1.4,Matches
320,Leif Davis,engENG,DF,Ipswich Town,25-111,2000.0,28.5,1,14,2,14.3,0.49,0.07,0.07,0.5,20.4,2,0,0,0.9,0.9,0.06,0.1,0.1,Matches
321,Leny Yoro,frFRA,DF,Manchester Utd,19-171,2005.0,11.9,0,5,1,20.0,0.42,0.08,0.0,0.0,8.6,0,0,0,0.7,0.7,0.15,-0.7,-0.7,Matches
322,Leon Bailey,jmJAM,"FW,MF",Aston Villa,27-267,1997.0,12.6,1,28,6,21.4,2.21,0.47,0.04,0.17,17.3,2,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches
323,Lesley Ugochukwu,frFRA,MF,Southampton,21-038,2004.0,16.1,1,9,1,11.1,0.56,0.06,0.11,1.0,18.4,0,0,0,0.8,0.8,0.09,0.2,0.2,Matches
324,Levi Colwill,engENG,DF,Chelsea,22-066,2003.0,31.0,1,16,3,18.8,0.52,0.1,0.06,0.33,9.9,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
325,Lewis Cook,engENG,"MF,DF",Bournemouth,28-089,1997.0,30.3,1,14,4,28.6,0.46,0.13,0.07,0.25,23.4,1,0,0,0.9,0.9,0.07,0.1,0.1,Matches
326,Lewis Dunk,engENG,DF,Brighton,33-163,1991.0,22.1,0,12,3,25.0,0.54,0.14,0.0,0.0,12.1,1,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
327,Lewis Hall,engENG,DF,Newcastle Utd,20-237,2004.0,24.3,0,11,1,9.1,0.45,0.04,0.0,0.0,18.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
328,Lewis Miley,engENG,MF,Newcastle Utd,19-002,2006.0,2.8,1,3,2,66.7,1.08,0.72,0.33,0.5,14.6,0,0,0,0.5,0.5,0.18,0.5,0.5,Matches
329,Lewis Orford,engENG,MF,West Ham,19-074,2006.0,0.5,0,1,0,0.0,1.84,0.0,0.0,,12.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
330,Liam Delap,engENG,FW,Ipswich Town,22-084,2003.0,26.9,12,62,27,43.5,2.3,1.0,0.16,0.37,15.9,0,2,2,9.1,7.5,0.12,2.9,2.5,Matches
331,Lisandro Martínez,arARG,DF,Manchester Utd,27-105,1998.0,19.5,2,17,6,35.3,0.87,0.31,0.12,0.33,15.9,0,0,0,1.3,1.3,0.08,0.7,0.7,Matches
332,Lloyd Kelly,engENG,DF,Newcastle Utd,26-209,1998.0,3.4,0,3,0,0.0,0.89,0.0,0.0,,7.3,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
333,Lucas Bergvall,seSWE,MF,Tottenham,19-090,2006.0,13.5,0,12,2,16.7,0.89,0.15,0.0,0.0,19.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
334,Lucas Digne,frFRA,DF,Aston Villa,31-287,1993.0,24.9,0,13,3,23.1,0.52,0.12,0.0,0.0,22.7,5,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
335,Lucas Paquetá,brBRA,"MF,FW",West Ham,27-249,1997.0,25.1,4,38,3,7.9,1.52,0.12,0.05,0.67,19.6,4,2,2,5.2,3.6,0.09,-1.2,-1.6,Matches
336,Luis Díaz,coCOL,FW,Liverpool,28-110,1997.0,24.7,12,65,27,41.5,2.63,1.09,0.18,0.44,13.5,0,0,0,10.0,10.0,0.15,2.0,2.0,Matches
337,Luis Guilherme,brBRA,"MF,FW",West Ham,19-083,2006.0,1.5,0,3,1,33.3,1.96,0.65,0.0,0.0,14.9,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
338,Luis Sinisterra,coCOL,"FW,MF",Bournemouth,25-320,1999.0,2.6,1,13,6,46.2,4.96,2.29,0.08,0.17,14.8,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
339,Luke Shaw,engENG,DF,Manchester Utd,29-295,1995.0,1.9,0,1,0,0.0,0.52,0.0,0.0,,23.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
340,Luke Thomas,engENG,DF,Leicester City,23-327,2001.0,8.7,0,3,0,0.0,0.34,0.0,0.0,,18.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
341,Luke Woolfenden,engENG,DF,Ipswich Town,26-194,1998.0,12.2,0,1,0,0.0,0.08,0.0,0.0,,12.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
342,Mads Hermansen,dkDEN,GK,Leicester City,24-296,2000.0,26.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
343,Mads Roerslev,dkDEN,DF,Brentford,25-313,1999.0,12.2,0,5,2,40.0,0.41,0.16,0.0,0.0,20.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
344,Malo Gusto,frFRA,DF,Chelsea,21-349,2003.0,20.2,0,22,4,18.2,1.09,0.2,0.0,0.0,21.3,0,0,0,1.7,1.7,0.08,-1.7,-1.7,Matches
345,Manuel Akanji,chSUI,DF,Manchester City,29-288,1995.0,19.4,0,10,1,10.0,0.52,0.05,0.0,0.0,16.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
346,Manuel Ugarte Ribeiro,uyURU,MF,Manchester Utd,24-022,2001.0,18.0,1,18,3,16.7,1.0,0.17,0.06,0.33,22.0,0,0,0,1.0,1.0,0.05,0.0,0.0,Matches
347,Marc Cucurella,esESP,DF,Chelsea,26-285,1998.0,29.2,4,22,9,40.9,0.75,0.31,0.18,0.44,16.5,0,0,0,2.6,2.6,0.12,1.4,1.4,Matches
348,Marc Guiu,esESP,FW,Chelsea,19-119,2006.0,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
349,Marc Guéhi,engENG,DF,Crystal Palace,24-294,2000.0,32.0,3,14,7,50.0,0.44,0.22,0.21,0.43,10.3,0,0,0,1.9,1.9,0.13,1.1,1.1,Matches
350,Marco Asensio,esESP,"MF,FW",Aston Villa,29-102,1996.0,5.3,3,17,8,47.1,3.18,1.5,0.18,0.38,18.9,1,0,2,4.2,2.6,0.15,-1.2,0.4,Matches
351,Marcos Senesi,arARG,DF,Bournemouth,27-358,1997.0,11.3,0,2,0,0.0,0.18,0.0,0.0,,6.0,0,0,0,0.8,0.8,0.4,-0.8,-0.8,Matches
352,Marcus Harness,engENG,MF,Ipswich Town,29-068,1996.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
353,Marcus Rashford,engENG,FW,Aston Villa,27-184,1997.0,4.9,2,18,5,27.8,3.65,1.01,0.06,0.2,19.4,2,1,1,3.1,2.3,0.13,-1.1,-1.3,Matches
354,Marcus Rashford,engENG,"FW,MF",Manchester Utd,27-184,1997.0,10.9,4,16,9,56.3,1.47,0.83,0.25,0.44,16.4,0,0,0,1.7,1.7,0.11,2.3,2.3,Matches
355,Marcus Tavernier,engENG,"FW,MF",Bournemouth,26-042,1999.0,17.6,3,48,15,31.3,2.73,0.85,0.06,0.2,20.5,4,0,0,5.2,5.2,0.11,-2.2,-2.2,Matches
356,Mario Lemina,gaGAB,"MF,DF",Wolves,31-244,1993.0,15.2,1,18,5,27.8,1.19,0.33,0.06,0.2,21.9,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
357,Mark Flekken,nlNED,GK,Brentford,31-324,1993.0,32.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
358,Mark Travers,ieIRL,GK,Bournemouth,25-350,1999.0,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
359,Marshall Munetsi,zwZIM,"MF,FW",Wolves,28-315,1996.0,9.8,1,15,5,33.3,1.54,0.51,0.07,0.2,14.8,0,0,0,3.0,3.0,0.2,-2.0,-2.0,Matches
360,Martial Godo,engENG,FW,Fulham,22-050,2003.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
361,Martin Dúbravka,skSVK,GK,Newcastle Utd,36-108,1989.0,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
362,Martin Ødegaard,noNOR,MF,Arsenal,26-137,1998.0,22.7,2,41,13,31.7,1.81,0.57,0.02,0.08,18.7,2,1,1,4.4,3.7,0.09,-2.4,-2.7,Matches
363,Mason Holgate,engENG,"FW,DF",Everton,28-193,1996.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
364,Mason Mount,engENG,"MF,FW",Manchester Utd,26-113,1999.0,4.2,0,10,3,30.0,2.41,0.72,0.0,0.0,15.8,0,0,0,1.5,1.5,0.15,-1.5,-1.5,Matches
365,Massimo Luongo,auAUS,MF,Ipswich Town,32-220,1992.0,2.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
366,Mateo Kovačić,hrCRO,MF,Manchester City,30-362,1994.0,22.8,6,41,12,29.3,1.8,0.53,0.15,0.5,22.5,0,0,0,1.7,1.7,0.04,4.3,4.3,Matches
367,Mateus Fernandes,ptPOR,MF,Southampton,20-297,2004.0,28.7,2,38,14,36.8,1.32,0.49,0.05,0.14,18.6,3,0,0,3.7,3.7,0.1,-1.7,-1.7,Matches
368,Matheus Cunha,brBRA,"MF,FW",Wolves,25-341,1999.0,26.9,15,97,40,41.2,3.6,1.48,0.15,0.38,20.6,12,0,0,7.9,7.9,0.08,7.1,7.1,Matches
369,Matheus França,brBRA,"FW,MF",Crystal Palace,21-032,2004.0,0.3,1,3,2,66.7,10.38,6.92,0.33,0.5,12.8,0,0,0,0.1,0.1,0.04,0.9,0.9,Matches
370,Matheus Nunes,ptPOR,"DF,MF",Manchester City,26-249,1998.0,16.6,1,7,3,42.9,0.42,0.18,0.14,0.33,18.3,0,0,0,0.9,0.9,0.13,0.1,0.1,Matches
371,Mathias Jensen,dkDEN,MF,Brentford,29-122,1996.0,8.8,0,6,1,16.7,0.68,0.11,0.0,0.0,23.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
372,Mathis Amougou,frFRA,MF,Chelsea,19-105,2006.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
373,Mathys Tel,frFRA,FW,Tottenham,20-006,2005.0,6.2,2,18,6,33.3,2.9,0.97,0.06,0.17,15.7,0,1,1,2.2,1.4,0.08,-0.2,-0.4,Matches
374,Mats Wieffer,nlNED,"MF,DF",Brighton,25-168,1999.0,7.7,1,8,4,50.0,1.04,0.52,0.13,0.25,12.9,0,0,0,0.7,0.7,0.09,0.3,0.3,Matches
375,Matt Doherty,ieIRL,DF,Wolves,33-107,1992.0,21.8,2,10,3,30.0,0.46,0.14,0.2,0.67,11.4,0,0,0,1.0,1.0,0.1,1.0,1.0,Matches
376,Matt O'Riley,dkDEN,MF,Brighton,24-163,2000.0,8.4,1,20,6,30.0,2.37,0.71,0.05,0.17,16.8,2,0,0,2.0,2.0,0.1,-1.0,-1.0,Matches
377,Matt Targett,engENG,DF,Newcastle Utd,29-227,1995.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
378,Matthijs de Ligt,nlNED,DF,Manchester Utd,25-264,1999.0,23.2,2,18,9,50.0,0.78,0.39,0.11,0.22,7.9,0,0,0,2.5,2.5,0.14,-0.5,-0.5,Matches
379,Matty Cash,plPOL,DF,Aston Villa,27-269,1997.0,19.0,1,10,4,40.0,0.53,0.21,0.1,0.25,19.0,0,0,0,0.3,0.3,0.03,0.7,0.7,Matches
380,Matz Sels,beBEL,GK,Nott'ham Forest,33-066,1992.0,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
381,Max Aarons,engENG,DF,Bournemouth,25-119,2000.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
382,Max Kilman,engENG,DF,West Ham,27-345,1997.0,33.2,0,11,2,18.2,0.33,0.06,0.0,0.0,8.4,0,0,0,1.4,1.4,0.13,-1.4,-1.4,Matches
383,Maxence Lacroix,frFRA,DF,Crystal Palace,25-027,2000.0,30.6,1,25,5,20.0,0.82,0.16,0.04,0.2,11.8,0,0,0,2.8,2.8,0.11,-1.8,-1.8,Matches
384,Maxwel Cornet,ciCIV,FW,Southampton,28-218,1996.0,0.8,0,1,0,0.0,1.25,0.0,0.0,,18.8,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
385,Michael Kayode,itITA,DF,Brentford,20-297,2004.0,2.3,0,1,0,0.0,0.43,0.0,0.0,,18.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
386,Michael Keane,engENG,DF,Everton,32-112,1993.0,9.5,2,8,3,37.5,0.85,0.32,0.25,0.67,14.8,0,0,0,0.4,0.4,0.05,1.6,1.6,Matches
387,Michail Antonio,jmJAM,FW,West Ham,35-036,1990.0,9.3,1,19,4,21.1,2.05,0.43,0.05,0.25,12.6,0,0,0,2.2,2.2,0.12,-1.2,-1.2,Matches
388,Micky van de Ven,nlNED,DF,Tottenham,24-014,2001.0,10.6,0,6,2,33.3,0.57,0.19,0.0,0.0,11.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
389,Miguel Almirón,pyPAR,FW,Newcastle Utd,31-082,1994.0,1.7,0,6,2,33.3,3.44,1.15,0.0,0.0,14.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
390,Mikel Merino,esESP,"MF,FW",Arsenal,28-315,1996.0,15.6,6,32,12,37.5,2.06,0.77,0.19,0.5,10.5,0,0,0,4.4,4.4,0.14,1.6,1.6,Matches
391,Mikey Moore,engENG,"FW,MF",Tottenham,17-265,2007.0,2.1,0,3,0,0.0,1.46,0.0,0.0,,19.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
392,Mikkel Damsgaard,dkDEN,"MF,FW",Brentford,24-304,2000.0,28.6,2,32,7,21.9,1.12,0.24,0.06,0.29,17.5,3,0,0,2.6,2.6,0.08,-0.6,-0.6,Matches
393,Milos Kerkez,huHUN,DF,Bournemouth,21-177,2003.0,33.2,2,17,5,29.4,0.51,0.15,0.12,0.4,20.4,0,0,0,0.5,0.5,0.03,1.5,1.5,Matches
394,Mohamed Salah,egEGY,FW,Liverpool,32-322,1992.0,33.5,28,111,47,42.3,3.32,1.4,0.17,0.4,14.8,1,9,9,23.9,16.9,0.15,4.1,2.1,Matches
395,Mohammed Kudus,ghGHA,"FW,MF",West Ham,24-274,2000.0,25.9,4,67,20,29.9,2.59,0.77,0.06,0.2,15.6,0,0,0,6.5,6.5,0.1,-2.5,-2.5,Matches
396,Moisés Caicedo,ecECU,MF,Chelsea,23-182,2001.0,33.2,1,18,3,16.7,0.54,0.09,0.06,0.33,25.1,0,0,0,0.8,0.8,0.04,0.2,0.2,Matches
397,Morato,brBRA,DF,Nott'ham Forest,23-307,2001.0,8.9,0,2,1,50.0,0.23,0.11,0.0,0.0,8.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
398,Morgan Gibbs-White,engENG,MF,Nott'ham Forest,25-096,2000.0,27.2,5,53,18,34.0,1.95,0.66,0.09,0.28,17.0,3,0,0,4.7,4.7,0.09,0.3,0.3,Matches
399,Morgan Rogers,engENG,"FW,MF",Aston Villa,22-281,2002.0,30.7,8,52,19,36.5,1.69,0.62,0.15,0.42,15.8,0,0,0,6.1,6.1,0.12,1.9,1.9,Matches
400,Murillo,brBRA,DF,Nott'ham Forest,22-303,2002.0,32.5,1,23,5,21.7,0.71,0.15,0.04,0.2,22.7,3,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
401,Mykhailo Mudryk,uaUKR,FW,Chelsea,24-118,2001.0,1.7,0,1,1,100.0,0.6,0.6,0.0,0.0,11.6,0,0,0,0.3,0.3,0.25,-0.3,-0.3,Matches
402,Myles Lewis-Skelly,engENG,DF,Arsenal,18-219,2006.0,12.0,1,2,1,50.0,0.17,0.08,0.5,1.0,14.3,0,0,0,0.1,0.1,0.06,0.9,0.9,Matches
403,Nasser Djiga,bfBFA,"DF,FW",Wolves,22-169,2002.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
404,Nathan Aké,nlNED,DF,Manchester City,30-074,1995.0,7.5,0,3,0,0.0,0.4,0.0,0.0,,10.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
405,Nathan Broadhead,wlsWAL,"MF,FW",Ipswich Town,27-028,1998.0,6.7,1,10,6,60.0,1.49,0.89,0.1,0.17,15.4,0,0,0,1.5,1.5,0.15,-0.5,-0.5,Matches
406,Nathan Butler-Oyedeji,engENG,FW,Arsenal,22-119,2003.0,0.1,0,1,1,100.0,12.86,12.86,0.0,0.0,15.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
407,Nathan Collins,ieIRL,DF,Brentford,24-003,2001.0,34.0,2,17,6,35.3,0.5,0.18,0.12,0.33,10.7,0,0,0,2.5,2.5,0.15,-0.5,-0.5,Matches
408,Nathan Patterson,sctSCO,DF,Everton,23-199,2001.0,3.0,0,1,0,0.0,0.34,0.0,0.0,,16.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
409,Nathan Wood-Gordon,engENG,DF,Southampton,22-337,2002.0,6.9,0,2,0,0.0,0.29,0.0,0.0,,5.9,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
410,Nathaniel Clyne,engENG,"DF,MF",Crystal Palace,34-028,1991.0,5.4,0,2,0,0.0,0.37,0.0,0.0,,31.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
411,Neco Williams,wlsWAL,DF,Nott'ham Forest,24-020,2001.0,24.8,1,33,6,18.2,1.33,0.24,0.03,0.17,19.7,1,0,0,2.2,2.2,0.07,-1.2,-1.2,Matches
412,Neto,brBRA,GK,Bournemouth,35-288,1989.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
413,Nick Pope,engENG,GK,Newcastle Utd,33-014,1992.0,24.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
414,Niclas Füllkrug,deGER,FW,West Ham,32-083,1993.0,6.5,3,13,5,38.5,1.99,0.76,0.23,0.6,10.4,0,0,0,1.9,1.9,0.15,1.1,1.1,Matches
415,Nico O’Reilly,engENG,DF,Manchester City,20-043,2005.0,5.7,2,8,3,37.5,1.4,0.53,0.25,0.67,15.4,0,0,0,1.3,1.3,0.16,0.7,0.7,Matches
416,Nicolas Jackson,snSEN,FW,Chelsea,23-317,2001.0,23.5,10,74,32,43.2,3.15,1.36,0.14,0.31,12.7,0,0,0,12.2,12.2,0.17,-2.2,-2.2,Matches
417,Nicolás Domínguez,arARG,"MF,FW",Nott'ham Forest,26-309,1998.0,18.5,0,18,7,38.9,0.97,0.38,0.0,0.0,19.0,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches
418,Nicolás González,esESP,MF,Manchester City,23-120,2002.0,7.2,0,7,0,0.0,0.97,0.0,0.0,,19.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
419,Nikola Milenković,rsSRB,DF,Nott'ham Forest,27-203,1997.0,33.0,4,26,7,26.9,0.79,0.21,0.15,0.57,12.1,0,0,0,3.6,3.6,0.14,0.4,0.4,Matches
420,Noni Madueke,engENG,FW,Chelsea,23-054,2002.0,19.1,7,73,30,41.1,3.81,1.57,0.1,0.23,14.6,0,0,0,8.2,8.2,0.11,-1.2,-1.2,Matches
421,Noussair Mazraoui,maMAR,DF,Manchester Utd,27-170,1997.0,29.3,0,13,3,23.1,0.44,0.1,0.0,0.0,20.6,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
