Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,Pto1/3,PPA,CrsPA,PrgPp,Matches
403,Nasser Djiga,bfBFA,"DF,FW",Wolves,22-169,2002.0,0.2,8,8,100.0,113,32,4,4,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
404,Nathan Aké,nlNED,DF,Manchester City,30-074,1995.0,7.5,509,542,93.9,8321,2950,248,253,98.0,237,244,97.1,20,34,58.8,0,0.0,0.2,0.0,1,42,1,0,50,Matches
405,Nathan Broadhead,wlsWAL,"MF,FW",Ipswich Town,27-028,1998.0,6.7,149,196,76.0,2132,415,91,104,87.5,51,64,79.7,3,12,25.0,0,0.6,1.1,-0.6,6,10,4,0,12,Matches
406,Nathan Butler-Oyedeji,engENG,FW,Arsenal,22-119,2003.0,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
407,Nathan Collins,ieIRL,DF,Brentford,24-003,2001.0,34.0,1535,1791,85.7,29301,9762,514,586,87.7,882,954,92.5,126,211,59.7,3,1.8,1.6,1.2,10,98,7,2,113,Matches
408,Nathan Patterson,sctSCO,DF,Everton,23-199,2001.0,3.0,96,129,74.4,1635,595,49,52,94.2,38,57,66.7,8,17,47.1,0,0.3,0.3,-0.3,2,7,4,2,9,Matches
409,Nathan Wood-Gordon,engENG,DF,Southampton,22-337,2002.0,6.9,363,391,92.8,6144,1494,153,162,94.4,190,197,96.4,16,23,69.6,0,0.0,0.0,0.0,1,11,0,0,17,Matches
410,Nathaniel Clyne,engENG,"DF,MF",Crystal Palace,34-028,1991.0,5.4,171,225,76.0,3113,1102,72,89,80.9,84,95,88.4,14,30,46.7,0,0.3,0.2,-0.3,3,16,2,1,7,Matches
411,Neco Williams,wlsWAL,DF,Nott'ham Forest,24-020,2001.0,24.8,695,919,75.6,10453,4284,400,445,89.9,230,320,71.9,36,89,40.4,2,1.5,1.2,0.5,15,54,18,7,76,Matches
412,Neto,brBRA,GK,Bournemouth,35-288,1989.0,2.0,40,62,64.5,1183,896,7,7,100.0,21,21,100.0,12,33,36.4,0,0.0,0.0,0.0,0,2,0,0,0,Matches
413,Nick Pope,engENG,GK,Newcastle Utd,33-014,1992.0,24.0,484,668,72.5,12485,7602,101,102,99.0,247,251,98.4,132,310,42.6,0,0.0,0.0,0.0,1,2,0,0,1,Matches
414,Niclas Füllkrug,deGER,FW,West Ham,32-083,1993.0,6.5,84,130,64.6,1125,211,53,72,73.6,23,40,57.5,3,6,50.0,2,1.9,0.3,0.1,13,8,4,0,9,Matches
415,Nico O’Reilly,engENG,DF,Manchester City,20-043,2005.0,5.7,304,350,86.9,4026,780,209,226,92.5,87,107,81.3,3,6,50.0,0,0.4,0.7,-0.4,4,28,1,1,17,Matches
416,Nicolas Jackson,snSEN,FW,Chelsea,23-317,2001.0,23.5,291,382,76.2,3909,850,177,216,81.9,85,109,78.0,9,14,64.3,5,4.3,1.9,0.7,28,22,10,1,37,Matches
417,Nicolás Domínguez,arARG,"MF,FW",Nott'ham Forest,26-309,1998.0,18.5,709,815,87.0,10239,2951,401,437,91.8,239,266,89.8,28,48,58.3,1,1.3,1.3,-0.3,13,71,9,1,66,Matches
418,Nicolás González,esESP,MF,Manchester City,23-120,2002.0,7.2,520,560,92.9,7739,1760,301,314,95.9,203,219,92.7,10,14,71.4,0,0.1,0.5,-0.1,1,48,4,0,46,Matches
