Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lostm,Won%,Matches
66,Bobby De Cordova-Reid,jmJAM,FW,Leicester City,32-090,1993.0,8.3,2,0,0,9,9,4,15,0,4,1,0,0,29,6,14,30.0,Matches
67,Boubacar Kamara,frFRA,MF,Aston Villa,25-161,1999.0,15.3,2,0,0,23,26,0,1,16,19,0,0,0,67,16,21,43.2,Matches
68,Boubacar Traoré,mlMLI,MF,Wolves,23-256,2001.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
69,Boubakary Soumaré,frFRA,MF,Leicester City,26-065,1999.0,21.7,8,0,0,21,21,0,8,24,18,0,0,0,130,19,9,67.9,Matches
70,Brajan Gruda,deGER,"FW,MF",Brighton,20-337,2004.0,5.6,0,0,0,6,9,1,17,2,6,0,0,0,19,3,4,42.9,Matches
71,Brandon Austin,engENG,GK,Tottenham,26-115,1999.0,1.0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,100.0,Matches
72,Brennan Johnson,wlsWAL,FW,Tottenham,23-345,2001.0,23.1,5,0,0,26,25,12,52,4,26,2,0,0,60,7,20,25.9,Matches
73,Bruno Fernandes,ptPOR,MF,Manchester Utd,30-237,1994.0,30.6,4,2,1,26,37,2,172,25,47,0,0,0,192,21,28,42.9,Matches
74,Bruno Guimarães,brBRA,MF,Newcastle Utd,27-168,1997.0,32.4,6,0,0,54,99,2,24,27,41,0,0,0,161,17,16,51.5,Matches
75,Bryan Mbeumo,cmCMR,FW,Brentford,25-269,1999.0,33.9,3,0,0,23,42,11,177,14,29,0,0,0,139,32,69,31.7,Matches
76,Bukayo Saka,engENG,"FW,MF",Arsenal,23-240,2001.0,16.2,3,0,0,13,35,5,109,2,13,1,0,0,61,8,19,29.6,Matches
77,Caleb Kporha,engENG,DF,Crystal Palace,18-292,2006.0,0.1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0.0,Matches
78,Caleb Okoli,itITA,DF,Leicester City,23-294,2001.0,12.5,4,0,0,16,9,0,1,15,14,0,0,0,44,23,21,52.3,Matches
79,Callum Hudson-Odoi,engENG,"FW,MF",Nott'ham Forest,24-177,2000.0,23.9,2,0,0,12,22,8,75,13,14,1,0,0,91,3,10,23.1,Matches
80,Callum Wilson,engENG,FW,Newcastle Utd,33-065,1992.0,3.0,1,0,0,2,1,3,2,1,2,0,0,0,10,2,12,14.3,Matches
81,Calvin Bassey,ngNGA,DF,Fulham,25-123,1999.0,31.2,6,0,0,24,30,2,6,18,32,0,0,0,155,40,31,56.3,Matches
82,Cameron Archer,engENG,FW,Southampton,23-286,2001.0,15.1,0,0,0,16,12,7,3,2,7,0,0,0,34,8,27,22.9,Matches
83,Cameron Burgess,auAUS,DF,Ipswich Town,29-194,1995.0,15.1,0,0,0,4,4,1,0,13,9,0,0,0,37,38,19,66.7,Matches
84,Caoimhín Kelleher,ieIRL,GK,Liverpool,26-161,1998.0,10.0,0,0,0,0,3,0,0,0,0,0,0,0,18,1,0,100.0,Matches
85,Carlos Alcaraz,arARG,"FW,MF",Everton,22-154,2002.0,5.5,3,0,0,9,6,1,9,3,5,0,0,0,24,10,6,62.5,Matches
86,Carlos Alcaraz,arARG,MF,Southampton,22-154,2002.0,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0,Matches
