Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lostm,Won%,Matches
355,Marcus Tavernier,engENG,"FW,MF",Bournemouth,26-042,1999.0,17.6,5,0,0,25,20,4,89,4,23,0,0,0,96,24,31,43.6,Matches
356,Mario Lemina,gaGAB,"MF,DF",Wolves,31-244,1993.0,15.2,4,0,0,17,8,4,10,27,31,0,1,0,73,25,16,61.0,Matches
357,Mark Flekken,nlNED,GK,Brentford,31-324,1993.0,32.4,1,0,0,0,3,0,0,0,4,0,0,0,36,4,0,100.0,Matches
358,Mark Travers,ieIRL,GK,Bournemouth,25-350,1999.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0,Matches
359,Marshall Munetsi,zwZIM,"MF,FW",Wolves,28-315,1996.0,9.8,0,0,0,15,10,3,6,6,10,0,0,0,31,24,18,57.1,Matches
360,Martial Godo,engENG,FW,Fulham,22-050,2003.0,0.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0,Matches
361,Martin Dúbravka,skSVK,GK,Newcastle Utd,36-108,1989.0,10.0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,100.0,Matches
362,Martin Ødegaard,noNOR,MF,Arsenal,26-137,1998.0,22.7,4,0,0,10,20,1,80,4,11,0,0,0,86,8,7,53.3,Matches
363,Mason Holgate,engENG,"FW,DF",Everton,28-193,1996.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
364,Mason Mount,engENG,"MF,FW",Manchester Utd,26-113,1999.0,4.2,3,0,0,13,7,0,9,2,2,0,0,0,11,3,6,33.3,Matches
365,Massimo Luongo,auAUS,MF,Ipswich Town,32-220,1992.0,2.2,0,0,0,1,2,0,1,2,5,0,0,0,10,1,0,100.0,Matches
366,Mateo Kovačić,hrCRO,MF,Manchester City,30-362,1994.0,22.8,5,0,0,23,23,0,0,20,38,0,0,0,110,9,8,52.9,Matches
367,Mateus Fernandes,ptPOR,MF,Southampton,20-297,2004.0,28.7,8,0,0,40,52,3,102,21,43,0,0,0,162,13,9,59.1,Matches
368,Matheus Cunha,brBRA,"MF,FW",Wolves,25-341,1999.0,26.9,3,0,0,41,69,8,123,17,21,0,0,0,123,10,27,27.0,Matches
369,Matheus França,brBRA,"FW,MF",Crystal Palace,21-032,2004.0,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,Matches
370,Matheus Nunes,ptPOR,"DF,MF",Manchester City,26-249,1998.0,16.6,4,0,0,28,17,6,39,13,21,0,1,0,60,13,16,44.8,Matches
371,Mathias Jensen,dkDEN,MF,Brentford,29-122,1996.0,8.8,2,0,0,7,10,0,31,8,9,0,0,0,45,8,5,61.5,Matches
372,Mathis Amougou,frFRA,MF,Chelsea,19-105,2006.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
373,Mathys Tel,frFRA,FW,Tottenham,20-006,2005.0,6.2,0,0,0,6,7,0,25,0,2,0,0,0,27,1,2,33.3,Matches
374,Mats Wieffer,nlNED,"MF,DF",Brighton,25-168,1999.0,7.7,4,0,0,17,6,1,7,11,19,0,0,0,54,23,18,56.1,Matches
375,Matt Doherty,ieIRL,DF,Wolves,33-107,1992.0,21.8,6,0,0,18,11,2,18,21,20,0,0,1,99,48,19,71.6,Matches
376,Matt O'Riley,dkDEN,MF,Brighton,24-163,2000.0,8.4,1,0,0,11,11,1,42,12,9,1,0,1,23,4,7,36.4,Matches
377,Matt Targett,engENG,DF,Newcastle Utd,29-227,1995.0,0.2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,,Matches
378,Matthijs de Ligt,nlNED,DF,Manchester Utd,25-264,1999.0,23.2,3,0,0,16,12,2,6,33,22,0,2,0,66,57,29,66.3,Matches
379,Matty Cash,plPOL,DF,Aston Villa,27-269,1997.0,19.0,6,0,0,24,15,1,30,21,26,0,2,0,61,17,19,47.2,Matches
380,Matz Sels,beBEL,GK,Nott'ham Forest,33-066,1992.0,34.0,3,0,0,0,10,0,0,0,1,0,0,0,11,14,2,87.5,Matches
381,Max Aarons,engENG,DF,Bournemouth,25-119,2000.0,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,Matches
382,Max Kilman,engENG,DF,West Ham,27-345,1997.0,33.2,4,0,0,17,12,2,3,37,17,0,0,0,135,101,48,67.8,Matches
383,Maxence Lacroix,frFRA,DF,Crystal Palace,25-027,2000.0,30.6,5,0,0,31,18,1,6,50,40,0,1,0,121,54,44,55.1,Matches
384,Maxwel Cornet,ciCIV,FW,Southampton,28-218,1996.0,0.8,1,0,0,0,1,1,3,0,5,0,0,0,2,3,0,100.0,Matches
385,Michael Kayode,itITA,DF,Brentford,20-297,2004.0,2.3,1,0,0,5,1,0,7,2,7,0,0,0,15,1,1,50.0,Matches
386,Michael Keane,engENG,DF,Everton,32-112,1993.0,9.5,5,0,0,9,0,0,1,10,7,0,0,0,24,20,14,58.8,Matches
387,Michail Antonio,jmJAM,FW,West Ham,35-036,1990.0,9.3,1,0,0,12,7,4,25,0,2,0,0,0,22,17,22,43.6,Matches
388,Micky van de Ven,nlNED,DF,Tottenham,24-014,2001.0,10.6,4,0,0,10,8,0,0,10,6,0,0,0,61,19,18,51.4,Matches
389,Miguel Almirón,pyPAR,FW,Newcastle Utd,31-082,1994.0,1.7,0,0,0,1,3,2,0,0,2,0,0,0,4,0,2,0.0,Matches
390,Mikel Merino,esESP,"MF,FW",Arsenal,28-315,1996.0,15.6,2,0,0,35,20,7,12,13,22,0,0,0,76,57,52,52.3,Matches
391,Mikey Moore,engENG,"FW,MF",Tottenham,17-265,2007.0,2.1,0,0,0,3,4,2,12,1,0,0,0,0,5,1,4,20.0,Matches
392,Mikkel Damsgaard,dkDEN,"MF,FW",Brentford,24-304,2000.0,28.6,2,0,0,17,26,6,122,25,41,0,0,0,156,12,25,32.4,Matches
393,Milos Kerkez,huHUN,DF,Bournemouth,21-177,2003.0,33.2,4,0,0,27,44,1,120,40,26,0,0,0,153,25,46,35.2,Matches
394,Mohamed Salah,egEGY,FW,Liverpool,32-322,1992.0,33.5,1,0,0,22,33,16,67,7,11,0,0,0,93,9,12,42.9,Matches
395,Mohammed Kudus,ghGHA,"FW,MF",West Ham,24-274,2000.0,25.9,1,1,0,35,58,18,70,4,19,0,0,0,125,10,35,22.2,Matches
396,Moisés Caicedo,ecECU,MF,Chelsea,23-182,2001.0,33.2,10,0,0,61,54,0,8,47,63,1,1,0,197,30,15,66.7,Matches
397,Morato,brBRA,DF,Nott'ham Forest,23-307,2001.0,8.9,2,0,0,10,2,0,0,10,13,0,0,0,31,5,13,27.8,Matches
398,Morgan Gibbs-White,engENG,MF,Nott'ham Forest,25-096,2000.0,27.2,10,1,1,33,36,7,37,18,18,1,0,0,114,37,47,44.0,Matches
399,Morgan Rogers,engENG,"FW,MF",Aston Villa,22-281,2002.0,30.7,9,0,0,46,47,2,21,5,18,1,0,0,103,11,43,20.4,Matches
400,Murillo,brBRA,DF,Nott'ham Forest,22-303,2002.0,32.5,5,0,0,25,4,0,12,30,36,0,1,0,129,42,19,68.9,Matches
401,Mykhailo Mudryk,uaUKR,FW,Chelsea,24-118,2001.0,1.7,0,0,0,2,2,1,7,0,2,0,0,0,9,2,4,33.3,Matches
402,Myles Lewis-Skelly,engENG,DF,Arsenal,18-219,2006.0,12.0,2,2,0,10,35,0,8,6,14,0,1,0,42,7,7,50.0,Matches
403,Nasser Djiga,bfBFA,"DF,FW",Wolves,22-169,2002.0,0.2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,50.0,Matches
404,Nathan Aké,nlNED,DF,Manchester City,30-074,1995.0,7.5,0,0,0,2,0,0,1,3,7,0,0,0,24,13,10,56.5,Matches
405,Nathan Broadhead,wlsWAL,"MF,FW",Ipswich Town,27-028,1998.0,6.7,1,0,0,4,13,2,9,4,3,0,0,0,30,1,9,10.0,Matches
406,Nathan Butler-Oyedeji,engENG,FW,Arsenal,22-119,2003.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
407,Nathan Collins,ieIRL,DF,Brentford,24-003,2001.0,34.0,5,0,0,24,25,6,7,32,21,2,0,0,148,110,59,65.1,Matches
408,Nathan Patterson,sctSCO,DF,Everton,23-199,2001.0,3.0,0,0,0,4,1,0,8,1,4,0,0,0,9,1,5,16.7,Matches
409,Nathan Wood-Gordon,engENG,DF,Southampton,22-337,2002.0,6.9,2,0,0,8,4,0,3,4,7,0,0,0,20,11,7,61.1,Matches
410,Nathaniel Clyne,engENG,"DF,MF",Crystal Palace,34-028,1991.0,5.4,1,0,0,2,2,0,7,3,8,0,0,0,10,1,7,12.5,Matches
411,Neco Williams,wlsWAL,DF,Nott'ham Forest,24-020,2001.0,24.8,6,0,0,22,37,1,43,24,44,0,0,0,94,35,28,55.6,Matches
412,Neto,brBRA,GK,Bournemouth,35-288,1989.0,2.0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,,Matches
413,Nick Pope,engENG,GK,Newcastle Utd,33-014,1992.0,24.0,2,0,0,2,5,0,0,1,0,0,2,0,19,11,1,91.7,Matches
414,Niclas Füllkrug,deGER,FW,West Ham,32-083,1993.0,6.5,2,0,0,14,4,7,1,0,2,0,0,0,10,26,36,41.9,Matches
415,Nico O’Reilly,engENG,DF,Manchester City,20-043,2005.0,5.7,0,0,0,6,4,1,8,4,4,0,0,0,29,5,7,41.7,Matches
416,Nicolas Jackson,snSEN,FW,Chelsea,23-317,2001.0,23.5,7,0,0,32,29,19,3,3,11,0,0,0,44,18,35,34.0,Matches
417,Nicolás Domínguez,arARG,"MF,FW",Nott'ham Forest,26-309,1998.0,18.5,8,0,0,29,15,1,5,27,40,0,0,0,102,21,19,52.5,Matches
418,Nicolás González,esESP,MF,Manchester City,23-120,2002.0,7.2,3,0,0,11,4,0,0,5,6,0,0,0,31,16,11,59.3,Matches
419,Nikola Milenković,rsSRB,DF,Nott'ham Forest,27-203,1997.0,33.0,4,0,0,17,4,1,0,24,26,0,0,0,74,92,36,71.9,Matches
420,Noni Madueke,engENG,FW,Chelsea,23-054,2002.0,19.1,3,0,0,20,24,4,58,8,15,0,0,0,67,10,15,40.0,Matches
421,Noussair Mazraoui,maMAR,DF,Manchester Utd,27-170,1997.0,29.3,2,0,0,37,22,3,20,34,60,0,1,0,141,47,28,62.7,Matches
422,Nélson Semedo,ptPOR,DF,Wolves,31-168,1993.0,29.6,7,0,0,44,28,4,58,23,34,0,1,0,121,27,41,39.7,Matches
423,Odsonne Édouard,frFRA,"MF,FW",Crystal Palace,27-107,1998.0,1.3,0,0,0,4,0,2,1,0,0,0,0,0,5,1,4,20.0,Matches
424,Odsonne Édouard,frFRA,FW,Leicester City,27-107,1998.0,0.3,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,50.0,Matches
425,Ola Aina,ngNGA,DF,Nott'ham Forest,28-207,1996.0,29.4,2,0,0,21,33,2,46,31,41,0,1,0,166,12,18,40.0,Matches
426,Oleksandr Zinchenko,uaUKR,"DF,MF",Arsenal,28-139,1996.0,5.0,1,0,0,8,3,1,10,4,1,0,0,0,16,11,11,50.0,Matches
427,Oliver Scarles,engENG,DF,West Ham,19-142,2005.0,6.6,1,0,0,4,3,1,13,10,11,0,0,0,33,5,5,50.0,Matches
428,Oliver Skipp,engENG,MF,Leicester City,24-229,2000.0,10.1,7,0,0,17,13,0,4,9,4,0,0,0,37,10,5,66.7,Matches
429,Ollie Watkins,engENG,FW,Aston Villa,29-124,1995.0,25.1,2,0,0,27,29,12,7,7,6,2,0,0,39,46,61,43.0,Matches
430,Omar Marmoush,egEGY,"FW,MF",Manchester City,26-085,1999.0,11.1,0,0,0,13,17,9,25,5,6,1,0,0,32,5,8,38.5,Matches
431,Omari Hutchinson,engENG,"MF,FW",Ipswich Town,21-185,2003.0,24.7,5,0,0,28,36,4,56,10,11,0,0,0,90,6,22,21.4,Matches
432,Orel Mangala,beBEL,MF,Everton,27-046,1998.0,14.0,2,0,0,24,17,2,6,21,8,0,0,0,49,6,8,42.9,Matches
433,Oscar Bobb,noNOR,FW,Manchester City,21-295,2003.0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
434,Pablo Sarabia,esESP,"MF,FW",Wolves,32-357,1992.0,8.0,3,0,0,14,15,5,40,4,8,0,0,0,29,4,12,25.0,Matches
435,Pape Matar Sarr,snSEN,MF,Tottenham,22-231,2002.0,18.2,6,0,0,28,31,2,14,24,30,0,1,0,105,24,36,40.0,Matches
436,Patrick Dorgu,dkDEN,DF,Manchester Utd,20-189,2004.0,6.5,3,1,0,13,19,3,28,4,17,0,0,0,26,11,5,68.8,Matches
437,Patson Daka,zmZAM,"FW,MF",Leicester City,26-206,1998.0,7.2,0,0,0,11,16,3,3,1,9,0,0,0,17,10,27,27.0,Matches
438,Pau Torres,esESP,DF,Aston Villa,28-107,1997.0,19.2,1,0,0,6,7,0,1,9,14,0,0,0,53,16,22,42.1,Matches
439,Paul Onuachu,ngNGA,FW,Southampton,30-340,1994.0,10.9,4,0,0,26,15,9,0,1,2,0,0,0,17,88,54,62.0,Matches
440,Pedro Lima,brBRA,DF,Wolves,18-306,2006.0,0.8,0,0,0,1,1,1,5,2,0,0,0,0,3,0,3,0.0,Matches
441,Pedro Neto,ptPOR,FW,Chelsea,25-055,2000.0,21.4,8,0,0,18,29,3,131,8,9,0,0,0,70,10,26,27.8,Matches
442,Pedro Porro,esESP,DF,Tottenham,25-232,1999.0,27.4,4,0,0,24,30,1,191,34,46,0,0,0,148,11,22,33.3,Matches
443,Pervis Estupiñán,ecECU,DF,Brighton,27-102,1998.0,23.7,5,0,0,33,16,3,111,30,36,0,0,0,135,41,26,61.2,Matches
444,Phil Foden,engENG,"MF,FW",Manchester City,24-340,2000.0,18.8,2,0,0,5,32,3,73,9,5,0,0,0,59,3,8,27.3,Matches
445,Philip Billing,dkDEN,MF,Bournemouth,28-326,1996.0,2.0,1,0,0,3,2,0,10,5,5,0,0,0,14,6,4,60.0,Matches
446,Radu Drăgușin,roROU,DF,Tottenham,23-089,2002.0,13.9,1,0,0,6,10,0,1,15,6,0,0,0,48,33,22,60.0,Matches
447,Raheem Sterling,engENG,"FW,MF",Arsenal,30-146,1994.0,4.8,1,0,0,12,3,4,14,1,4,0,0,0,13,1,3,25.0,Matches
448,Ramón Sosa,pyPAR,"FW,MF",Nott'ham Forest,25-245,1999.0,3.0,1,0,0,6,8,3,8,3,3,0,0,0,21,4,7,36.4,Matches
449,Rasmus Højlund,dkDEN,FW,Manchester Utd,22-088,2003.0,19.4,2,0,0,15,26,11,6,1,1,1,0,0,30,23,82,21.9,Matches
450,Rayan Aït-Nouri,dzALG,DF,Wolves,23-331,2001.0,31.8,7,1,1,30,39,5,86,24,52,0,0,0,133,20,28,41.7,Matches
451,Raúl Jiménez,mxMEX,FW,Fulham,33-363,1991.0,23.7,4,0,0,35,36,14,20,9,18,1,0,0,70,72,83,46.5,Matches
452,Reece James,engENG,"DF,MF",Chelsea,25-146,1999.0,9.3,1,0,0,6,10,0,38,12,9,0,0,0,53,21,6,77.8,Matches
453,Reiss Nelson,engENG,FW,Fulham,25-144,1999.0,5.4,1,0,0,6,9,1,23,5,6,0,0,0,29,0,4,0.0,Matches
454,Reiss Nelson,engENG,FW,Arsenal,25-144,1999.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,Matches
455,Remy Rees-Dottin,engENG,FW,Bournemouth,19-058,2006.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
456,Renato Veiga,ptPOR,"DF,MF",Chelsea,21-278,2003.0,2.0,2,0,0,6,1,1,0,1,6,0,0,0,9,3,3,50.0,Matches
457,Ricardo Pereira,ptPOR,DF,Leicester City,31-209,1993.0,3.8,1,0,0,4,6,0,3,2,6,0,0,0,16,4,2,66.7,Matches
458,Riccardo Calafiori,itITA,DF,Arsenal,22-349,2002.0,10.3,4,0,0,16,6,3,11,9,18,0,0,0,30,22,13,62.9,Matches
459,Richarlison,brBRA,FW,Tottenham,27-358,1997.0,4.5,2,0,0,6,9,1,7,0,3,0,0,0,8,8,17,32.0,Matches
460,Rico Henry,engENG,DF,Brentford,27-299,1997.0,0.7,0,0,0,1,1,0,0,1,0,0,0,0,3,1,1,50.0,Matches
461,Rico Lewis,engENG,"DF,MF",Manchester City,20-163,2004.0,20.2,5,1,1,11,33,0,3,13,19,0,0,0,94,5,13,27.8,Matches
462,Robert Sánchez,esESP,GK,Chelsea,27-166,1997.0,28.0,5,0,0,2,4,0,0,2,0,0,2,0,41,8,0,100.0,Matches
463,Robin Olsen,seSWE,GK,Aston Villa,35-115,1990.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
464,Rodri,esESP,MF,Manchester City,28-315,1996.0,0.7,0,0,0,1,2,0,0,1,1,0,0,0,7,1,0,100.0,Matches
465,Rodrigo Bentancur,uyURU,MF,Tottenham,27-312,1997.0,16.9,7,0,0,31,10,1,4,36,20,0,0,0,111,35,27,56.5,Matches
466,Rodrigo Gomes,ptPOR,"DF,FW",Wolves,21-300,2003.0,7.5,0,0,0,3,5,0,19,5,13,0,0,0,24,6,15,28.6,Matches
467,Rodrigo Muniz,brBRA,FW,Fulham,23-364,2001.0,10.7,1,0,0,11,31,3,1,5,5,0,0,0,14,67,63,51.5,Matches
468,Romain Esse,engENG,MF,Crystal Palace,19-355,2005.0,0.4,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,100.0,Matches
469,Roman Dixon,engENG,DF,Everton,20-128,2004.0,1.0,0,0,0,0,0,0,0,1,5,0,0,0,6,0,3,0.0,Matches
470,Roméo Lavia,beBEL,MF,Chelsea,21-117,2004.0,6.7,4,0,0,12,3,0,0,13,11,0,1,0,30,10,2,83.3,Matches
471,Ronnie Edwards,engENG,DF,Southampton,22-036,2003.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
472,Ross Barkley,engENG,MF,Aston Villa,31-149,1993.0,6.3,3,0,0,8,3,0,1,10,3,0,0,0,40,6,4,60.0,Matches
473,Ross Stewart,sctSCO,FW,Southampton,28-296,1996.0,2.7,1,0,0,6,5,1,0,0,2,0,0,0,2,7,13,35.0,Matches
474,Ryan Christie,sctSCO,MF,Bournemouth,30-070,1995.0,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7,Matches
475,Ryan Fraser,sctSCO,"FW,DF",Southampton,31-068,1994.0,3.4,0,1,0,1,4,1,12,1,2,0,1,0,10,2,3,40.0,Matches
476,Ryan Gravenberch,nlNED,MF,Liverpool,22-352,2002.0,32.5,5,0,0,42,46,0,6,57,34,0,0,0,182,26,14,65.0,Matches
477,Ryan Manning,ieIRL,"DF,MF",Southampton,28-323,1996.0,15.2,2,0,0,19,30,0,77,16,17,0,0,0,62,13,5,72.2,Matches
478,Ryan Sessegnon,engENG,"FW,DF",Fulham,24-350,2000.0,4.6,0,0,0,14,4,1,13,2,10,0,0,0,20,7,9,43.8,Matches
479,Ryan Trevitt,engENG,MF,Brentford,22-052,2003.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches
480,Ryan Yates,engENG,MF,Nott'ham Forest,27-163,1997.0,20.7,9,0,0,51,48,6,5,26,21,0,0,0,93,43,30,58.9,Matches
481,Rúben Dias,ptPOR,DF,Manchester City,27-354,1997.0,22.2,4,0,0,12,8,0,3,18,10,0,1,1,68,30,31,49.2,Matches
482,Sam Johnstone,engENG,GK,Wolves,32-039,1993.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,100.0,Matches
483,Sam Morsy,egEGY,MF,Ipswich Town,33-235,1991.0,26.9,9,0,0,44,23,0,12,28,34,0,1,1,138,16,23,41.0,Matches
484,Sammie Szmodics,ieIRL,"FW,MF",Ipswich Town,29-221,1995.0,10.9,2,0,0,9,8,8,13,6,9,0,1,0,41,6,11,35.3,Matches
485,Samuel Amo-Ameyaw,engENG,"FW,DF",Southampton,18-289,2006.0,0.3,1,0,0,1,2,0,2,0,0,0,0,0,1,0,1,0.0,Matches
486,Samuel Edozie,engENG,"DF,FW",Southampton,22-095,2003.0,0.7,1,0,0,2,1,0,4,0,1,0,0,0,1,0,0,,Matches
487,Sander Berge,noNOR,MF,Fulham,27-078,1998.0,22.4,4,0,0,27,8,0,3,20,28,0,0,0,116,25,20,55.6,Matches
488,Sandro Tonali,itITA,MF,Newcastle Utd,24-360,2000.0,25.2,5,0,0,36,40,2,30,30,29,1,0,0,162,12,11,52.2,Matches
489,Santiago Bueno,uyURU,DF,Wolves,26-175,1998.0,18.7,2,0,0,26,5,0,0,15,21,0,0,0,43,35,31,53.0,Matches
490,Saša Lukić,rsSRB,MF,Fulham,28-263,1996.0,23.1,12,0,0,58,25,0,53,25,36,0,0,0,103,18,23,43.9,Matches
491,Scott McTominay,sctSCO,MF,Manchester Utd,28-146,1996.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
492,Sean Longstaff,engENG,MF,Newcastle Utd,27-185,1997.0,8.9,2,0,0,9,6,0,5,7,16,0,0,0,31,7,7,50.0,Matches
493,Sepp van den Berg,nlNED,DF,Brentford,23-134,2001.0,24.7,2,0,0,19,5,1,7,19,22,1,0,0,81,83,65,56.1,Matches
494,Sergio Reguilón,esESP,DF,Tottenham,28-138,1996.0,1.4,2,0,0,2,5,0,10,2,3,0,0,0,9,5,2,71.4,Matches
495,Shumaira Mheuka,engENG,MF,Chelsea,17-195,2007.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
496,Simon Adingra,ciCIV,"FW,MF",Brighton,23-122,2002.0,9.9,0,0,0,10,2,2,34,8,13,0,0,0,38,5,3,62.5,Matches
497,Solly March,engENG,"FW,MF",Brighton,30-287,1994.0,1.9,2,0,0,2,2,3,20,2,3,0,0,0,7,1,2,33.3,Matches
498,Son Heung-min,krKOR,FW,Tottenham,32-299,1992.0,22.3,1,0,0,5,28,11,75,5,9,1,0,0,81,6,11,35.3,Matches
499,Stefan Ortega,deGER,GK,Manchester City,32-178,1992.0,12.2,1,0,0,1,2,0,0,0,0,0,1,0,8,2,0,100.0,Matches
500,Stephy Mavididi,engENG,FW,Leicester City,26-337,1998.0,17.9,2,0,0,18,18,3,69,11,19,0,0,0,83,9,15,37.5,Matches
501,Sven Botman,nlNED,DF,Newcastle Utd,25-111,2000.0,2.6,1,0,0,4,2,0,0,4,4,0,0,0,8,11,6,64.7,Matches
502,Sávio,brBRA,"FW,MF",Manchester City,21-023,2004.0,19.3,3,0,0,17,27,3,81,6,16,2,0,0,79,1,2,33.3,Matches
503,Séamus Coleman,ieIRL,DF,Everton,36-204,1988.0,2.2,1,0,0,0,1,0,3,1,1,0,0,0,7,1,1,50.0,Matches
504,Taiwo Awoniyi,ngNGA,FW,Nott'ham Forest,27-264,1997.0,4.5,0,0,0,8,10,1,2,0,3,0,0,0,18,13,38,25.5,Matches
505,Takehiro Tomiyasu,jpJPN,DF,Arsenal,26-179,1998.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
506,Tariq Lamptey,ghGHA,DF,Brighton,24-215,2000.0,8.5,0,0,0,12,10,0,24,6,10,0,1,0,35,1,12,7.7,Matches
507,Taylor Harwood-Bellis,engENG,DF,Southampton,23-093,2002.0,28.5,8,0,0,32,13,0,9,30,19,0,0,0,115,52,40,56.5,Matches
508,Thiago,brBRA,FW,Brentford,23-311,2001.0,1.5,0,0,0,3,3,1,1,2,2,0,0,0,9,4,3,57.1,Matches
509,Thomas Partey,ghGHA,"MF,DF",Arsenal,31-324,1993.0,27.1,4,0,0,39,27,1,12,32,48,0,0,0,120,26,21,55.3,Matches
510,Tim Iroegbunam,engENG,MF,Everton,21-307,2003.0,6.3,4,0,0,15,11,0,1,15,13,0,0,0,47,9,4,69.2,Matches
511,Timo Werner,deGER,"FW,MF",Tottenham,29-058,1996.0,5.7,0,0,0,3,5,5,28,1,4,0,0,0,18,0,1,0.0,Matches
512,Timothy Castagne,beBEL,DF,Fulham,29-149,1995.0,18.1,1,0,0,15,6,1,37,22,29,0,1,0,55,34,35,49.3,Matches
513,Toby Collyer,engENG,MF,Manchester Utd,21-120,2004.0,2.0,0,0,0,2,4,0,0,2,9,0,0,0,17,3,1,75.0,Matches
514,Tom Cairney,sctSCO,MF,Fulham,34-103,1991.0,5.5,3,1,0,8,17,0,17,4,5,0,0,0,44,4,8,33.3,Matches
515,Tommy Doyle,engENG,MF,Wolves,23-198,2001.0,5.4,1,0,0,5,5,0,15,5,6,0,0,0,43,1,6,14.3,Matches
516,Tomáš Souček,czCZE,MF,West Ham,30-065,1995.0,25.0,8,0,0,41,24,4,11,18,19,1,0,0,52,90,65,58.1,Matches
517,Tosin Adarabioyo,engENG,DF,Chelsea,27-221,1997.0,13.7,3,0,0,8,6,1,0,10,10,0,0,0,34,36,26,58.1,Matches
518,Toti Gomes,ptPOR,DF,Wolves,26-107,1999.0,26.0,6,0,0,23,14,4,13,23,38,0,1,0,100,48,24,66.7,Matches
519,Trent Alexander-Arnold,engENG,DF,Liverpool,26-208,1998.0,24.9,5,0,0,11,7,1,142,30,49,0,0,0,126,3,13,18.8,Matches
520,Trevoh Chalobah,engENG,DF,Chelsea,25-302,1999.0,8.3,1,0,0,6,5,0,3,7,4,0,0,0,25,22,10,68.8,Matches
521,Trevoh Chalobah,engENG,DF,Crystal Palace,25-302,1999.0,11.8,1,0,0,10,15,1,7,19,16,0,0,0,56,22,19,53.7,Matches
522,Tyler Adams,usUSA,MF,Bournemouth,26-078,1999.0,18.0,7,0,0,41,19,0,3,31,46,0,1,0,96,29,17,63.0,Matches
523,Tyler Dibling,engENG,"FW,MF",Southampton,19-052,2006.0,18.9,6,0,0,28,48,2,27,8,20,2,0,0,74,10,21,32.3,Matches
524,Tyler Fredricson,engENG,DF,Manchester Utd,20-069,2005.0,1.0,0,0,0,0,2,0,0,1,2,0,0,0,6,5,2,71.4,Matches
525,Tyrell Malacia,nlNED,DF,Manchester Utd,25-259,1999.0,1.1,1,0,0,3,2,0,1,1,1,0,0,0,3,0,0,,Matches
526,Tyrick Mitchell,engENG,DF,Crystal Palace,25-244,1999.0,31.7,2,0,0,20,22,2,97,14,52,0,0,0,152,18,21,46.2,Matches
527,Tyrique George,engENG,FW,Chelsea,19-088,2006.0,1.1,1,0,0,2,0,1,3,1,0,0,0,0,3,0,3,0.0,Matches
528,Tyrone Mings,engENG,DF,Aston Villa,32-051,1993.0,11.7,1,0,0,3,9,0,1,7,5,0,0,0,33,26,21,55.3,Matches
529,Valentino Livramento,engENG,DF,Newcastle Utd,22-172,2002.0,27.6,1,0,0,6,32,2,44,21,33,0,0,0,170,22,30,42.3,Matches
530,Victor Bernth Kristiansen,dkDEN,DF,Leicester City,22-138,2002.0,26.4,1,0,0,17,17,3,96,40,50,0,1,1,97,19,42,31.1,Matches
531,Victor Lindelöf,seSWE,DF,Manchester Utd,30-290,1994.0,5.2,1,0,0,7,1,0,1,7,1,0,0,0,11,10,13,43.5,Matches
532,Virgil van Dijk,nlNED,DF,Liverpool,33-299,1991.0,34.0,3,0,0,15,12,0,1,52,17,0,0,0,108,110,45,71.0,Matches
533,Vitaliy Mykolenko,uaUKR,DF,Everton,25-339,1999.0,30.2,2,0,0,20,28,3,86,36,32,0,1,0,77,44,36,55.0,Matches
534,Vitaly Janelt,deGER,MF,Brentford,26-358,1998.0,25.0,3,0,0,24,15,1,30,27,22,0,0,2,107,19,11,63.3,Matches
