STT,Player,Age,Squad,ETV
492,Jonny Evans,37,Manchester Utd,€1.1M
493,Nathaniel Clyne,34,Crystal Palace,€1M
494,Steven Benda,26,Fulham,€1M
495,Kim Ji-Soo,20,Brentford,€1M
496,Marcus Bettinelli,32,Chelsea,€1M
498,Michail Antonio,35,West Ham,€1.0M
499,Robin Olsen,35,Aston Villa,€0.9M
500,Ben Mee,35,Brentford,€0.9M
501,Danny Ward,31,Leicester City,€0.9M
502,Kaden Rodney,20,Crystal Palace,€0.9M
503,Adam Lallana,36,Southampton,€0.9M
505,Asmir Begović,37,Everton,€0.8M
506,Aaron Cresswell,35,West Ham,€0.8M
507,Edmond-Paris Maghoma,23,Brentford,€0.8M
508,Brandon Austin,26,Tottenham,€0.8M
509,Joe Lumley,30,Southampton,€0.7M
510,John Ruddy,38,Newcastle Utd,€0.7M
511,Séamus Coleman,36,Everton,€0.7M
512,Harry Amass,18,Manchester Utd,€0.7M
513,Jakub Stolarczyk,24,Leicester City,€0.7M
514,Fraser Forster,37,Tottenham,€0.7M
515,Joel Ward,35,Crystal Palace,€0.7M
516,Harvey Davies,21,Liverpool,€0.6M
517,Alex McCarthy,35,Southampton,€0.6M
518,Tom King,30,Wolves,€0.6M
519,Lucas Bergström,22,Chelsea,€0.6M
520,João Virgínia,25,Everton,€0.6M
521,Tom McGill,25,Brighton,€0.5M
522,Massimo Luongo,32,Ipswich Town,€0.5M
523,Alfie Whiteman,26,Tottenham,€0.5M
524,Remi Matthews,31,Crystal Palace,€0.4M
525,Mark Gillespie,33,Newcastle Utd,€0.4M
526,Wayne Hennessey,38,Nott'ham Forest,€0.4M
527,Scott Carson,39,Manchester City,€0.4M
528,Tom Heaton,39,Manchester Utd,€0.4M
529,Ranel Young,19,Liverpool,€0.2M
530,Rento Takaoka,18,Southampton,€0.2M
531,Richard Olise,20,Chelsea,€90K
