STT,Player,Age,Squad,ETV
195,Sepp van den Berg,23,Brentford,€26.4M
196,Jarell Quansah,22,Liverpool,€26.2M
197,Crysencio Summerville,23,West Ham,€25.9M
198,Igor Thiago,23,Brentford,€25.9M
199,Filip Jørgensen,23,Chelsea,€25.9M
200,Iliman Ndiaye,25,Everton,€25.7M
201,Ismaïla Sarr,27,Crystal Palace,€25.7M
202,Matt O'Riley,24,Brighton,€25.6M
203,Joe Gomez,27,Liverpool,€25.3M
204,Mateo Kovačić,30,Manchester City,€25.3M
205,Wilson Odobert,20,Tottenham,€25.1M
206,Jacob Greaves,24,Ipswich Town,€25.1M
207,Igor Júlio,27,Brighton,€25M
208,Wout Faes,27,Leicester City,€25M
209,Michael Kayode,20,Brentford,€25M
210,Jakub Kiwior,25,Arsenal,€25M
211,Aaron Hickey,22,Brentford,€24.9M
212,Robert Sánchez,27,Chelsea,€24.9M
213,Kiernan Dewsbury-Hall,26,Chelsea,€24.9M
214,Julio Enciso,21,Ipswich Town,€24.9M
215,Edward Nketiah,25,Crystal Palace,€24.8M
216,Tyrick Mitchell,25,Crystal Palace,€24.6M
217,Claudio Echeverri,19,Manchester City,€24.4M
218,Jesper Lindstrøm,25,Everton,€24.4M
219,Marcus Tavernier,26,Bournemouth,€24.4M
220,Tyler Adams,26,Bournemouth,€24.4M
221,Beto,27,Everton,€24.4M
222,Orel Mangala,27,Everton,€24.4M
223,Tosin Adarabioyo,27,Chelsea,€24.3M
224,Virgil van Dijk,33,Liverpool,€24.3M
225,Alisson,32,Liverpool,€24.1M
226,Andrew Robertson,31,Liverpool,€24M
227,Victor Kristiansen,22,Leicester City,€23.9M
228,Mikey Moore,17,Tottenham,€23.7M
229,Konstantinos Tsimikas,28,Liverpool,€23.6M
230,Carlos Soler,28,West Ham,€23.4M
231,Neco Williams,24,Nott'ham Forest,€23.4M
232,Tomáš Souček,30,West Ham,€23.2M
233,James Garner,24,Everton,€23.2M
234,Takehiro Tomiyasu,26,Arsenal,€22.9M
235,Dean Henderson,28,Crystal Palace,€22.7M
236,Jordan Pickford,31,Everton,€22.6M
237,Mateus Fernandes,20,Southampton,€22.5M
238,John McGinn,30,Aston Villa,€22.5M
239,J. Philogene,23,Ipswich Town,€22.3M
240,Abdul Fatawu Issahaku,21,Leicester City,€21.9M
241,Kristoffer Ajer,27,Brentford,€21.5M
242,Donyell Malen,26,Aston Villa,€21.4M
243,Yasin Ayari,21,Brighton,€21.4M
244,Chadi Riad,21,Crystal Palace,€21.4M
245,Reiss Nelson,25,Fulham,€21.3M
246,Jean-Ricner Bellegarde,26,Wolves,€21.3M
247,Sean Longstaff,27,Newcastle Utd,€21.3M
248,Federico Chiesa,27,Liverpool,€21.2M
249,Caoimhin Kelleher,26,Liverpool,€20.9M
250,Fabio Carvalho,22,Brentford,€20.6M
251,Marcos Senesi,27,Bournemouth,€20.4M
252,Ben Chilwell,28,Crystal Palace,€20.4M
